"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User Registration","Full registration","0","0","6","0","0"
"","Messages","2 users chatting tests","0","0","3","0","0"
"","Service Publish","Minimal service publication","0","0","5","0","0"
"","Favorites","Add master to favorites","0","0","3","0","0"
"","Search","Search from the search page","0","0","3","0","0"
"","Orders","Order cancel","0","0","2","0","0"
"","Profile verification","User Profile","2","0","2","0","0"
"","Booking","Service booking","1","0","6","0","0"
"","Orders","Order check","2","0","2","0","0"
"","Search","Search from the main page","0","0","3","0","0"
"","Reviews","Review check","1","0","2","0","0"
"","User Registration","Minimal registration","0","0","1","0","0"
"","Favorites","Remove master from favorites","1","0","0","0","0"
"","Reviews","Review master answers","0","0","1","0","0"
"","Language","https://redmine.maxi-booking.ru/issues/4753","1","0","0","0","0"
